"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W4Efsd 7"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Heart+of+Texas+Veterinary+Specialty+Center/data=!4m7!3m6!1s0x8644d1765229f45b:0xaddfdae240ba6847!8m2!3d30.4968117!4d-97.6180094!16s%2Fg%2F1tf02wfy!19sChIJW_QpUnbRRIYRR2i6QOLa360?authuser=0&hl=en&rclk=1","Heart of Texas Veterinary Specialty Center","3.9","(913)","Emergency veterinarian service","·","","·","3675 Gattis School Rd","Open 24 hours","·","(512) 744-4644","https://www.thrivepetcare.com/locations/texas/round-rock/heart-of-texas-veterinary-specialty-center?utm_source=google&utm_medium=gmb","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The vet and their team were kind and thorough.""",""
"https://www.google.com/maps/place/Central+Texas+Veterinary+Speciality+and+Emergency+Hospital-+Round+Rock/data=!4m7!3m6!1s0x8644d1f2cba1a7a9:0x6128a2481ba11a4!8m2!3d30.5091826!4d-97.6891941!16s%2Fg%2F1v_z4qkx!19sChIJqaehy_LRRIYRpBG6gSSKEgY?authuser=0&hl=en&rclk=1","Central Texas Veterinary Speciality and Emergency Hospital- Round Rock","4.3","(1,233)","Veterinarian","·","","·","301 Chisholm Trail Rd","Open 24 hours","·","(512) 982-0535","https://ctvsh.com/round-rock-location/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""this place not only saved my dog’s life but they treat my dog like family!""",""
"https://www.google.com/maps/place/Vetco+Total+Care/data=!4m7!3m6!1s0x8644c5ee05610023:0x64c2bd4014d06173!8m2!3d30.472535!4d-97.5968575!16s%2Fg%2F11vkp65vhw!19sChIJIwBhBe7FRIYRc2HQFEC9wmQ?authuser=0&hl=en&rclk=1","Vetco Total Care","4.3","(37)","Veterinarian","·","","·","19000 Limestone Commercial Dr #400","Closed","·","(737) 800-5719","https://stores.petco.com/tx/pflugerville/vet-hospital-pflugerville-tx-1498.html?utm_source=google&utm_campaign=locallist_1498_vtc","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Their genuine care and understanding for my pets made all the difference.""","· Opens 8 AM Tue"
"https://www.google.com/maps/place/Pflugerville+Animal+Hospital/data=!4m7!3m6!1s0x8644cf932fb77d57:0x3c47f2ac84b7eced!8m2!3d30.4622842!4d-97.6233788!16s%2Fg%2F1tnl1sxm!19sChIJV323L5PPRIYR7ey3hKzyRzw?authuser=0&hl=en&rclk=1","Pflugerville Animal Hospital","4.3","(351)","Veterinarian","·","","409 E Pflugerville Pkwy Suite 900","","Closed","·","(512) 251-1917","http://www.pflugervilleanimalhospital.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Always able to get me in quickly and treat my fur babies well.""","· Opens 7 AM Mon"
"https://www.google.com/maps/place/Pfennig+Lane+Animal+Hospital/data=!4m7!3m6!1s0x8644cf8895df4877:0x8dc21677d2804392!8m2!3d30.4562695!4d-97.6154242!16s%2Fg%2F1q5bpth6g!19sChIJd0jflYjPRIYRkkOA0ncWwo0?authuser=0&hl=en&rclk=1","Pfennig Lane Animal Hospital","4.5","(168)","Veterinarian","·","","·","1106 E Pfennig Ln","Closed","·","(512) 989-2222","https://pflah.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They are totally professional and caring with our fur baby""","· Opens 8 AM Mon"
"https://www.google.com/maps/place/VCA+Hometown+Animal+Hospital/data=!4m7!3m6!1s0x8644c581d51766d3:0x2fd8818667864af4!8m2!3d30.4438482!4d-97.608732!16s%2Fg%2F1tf588lc!19sChIJ02YX1YHFRIYR9EqGZ4aB2C8?authuser=0&hl=en&rclk=1","VCA Hometown Animal Hospital","4.4","(626)","Veterinarian","·","","·","1001 FM 685","Closed","·","(512) 251-2242","https://vcahospitals.com/hometown?utm_source=maps&utm_medium=organic&utm_campaign=AU_1132","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very helpful and seemed genuinely concerned about my dog and my family.""","· Opens 7 AM Mon"
"https://www.google.com/maps/place/Central+Texas+Animal+Hospital/data=!4m7!3m6!1s0x8644cf9e42cd7477:0x7683003465d5ac9c!8m2!3d30.4446644!4d-97.6296778!16s%2Fg%2F1tg4x719!19sChIJd3TNQp7PRIYRnKzVZTQAg3Y?authuser=0&hl=en&rclk=1","Central Texas Animal Hospital","4.7","(469)","Veterinarian","·","","·","1200 W Pecan St","Closed","·","(512) 251-2275","https://centraltexasanimalhospital.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The vet and her staff were very thorough and sweet to me and my girl.""","· Opens 7 AM Mon"
"https://www.google.com/maps/place/White+Rock+Veterinary+Hospital/data=!4m7!3m6!1s0x8644ce53067d8e35:0xd25e2a7dc01d6005!8m2!3d30.4473235!4d-97.6542989!16s%2Fg%2F1tht1vks!19sChIJNY59BlPORIYRBWAdwH0qXtI?authuser=0&hl=en&rclk=1","White Rock Veterinary Hospital","4.8","(1,121)","Veterinarian","·","","·","2509 W Pecan St","Closed","·","(512) 670-5400","https://whiterockvet.com/?utm_source=gmb&utm_medium=organic","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","· Opens 7 AM Mon"
